,Hindi,Kannada,devanagari_kannada
3073,"मैं देश के सभी राज्यों के school board एवं school प्रबंधन से अपील करता हूँ कि हर school में, दिसम्बर महीने में, Fit India सप्ताह मनाया जाए |",ನಾನು ದೇಶದ ಎಲ್ಲ ರಾಜ್ಯಗಳ ಸ್ಕೂಲ್ ಬೋರ್ಡಗಳು ಮತ್ತು ಸ್ಕೂಲ್ ವ್ಯವಸ್ಥಾಪಕರುಗಳಿಗೆ ಮನವಿ ಮಾಡುವುದೇನಂದರೆ ಸ್ಕೂಲುಗಳಲ್ಲಿ ಡಿಶೆಂಬರ್ ತಿಂಗಳಲ್ಲಿ ಫಿಟ್ ಇಂಡಿಯಾ ಸಪ್ತಾಹವನ್ನು ಆಚರಣೆಗೆ ತನ್ನಿರಿ.,नानु देशद ऎल्ल राज्यगळ स्कूल् बोर्डगळु मत्तु स्कूल् व्यवस्थापकरुगळिगॆ मनवि माडुवुदेनंदरॆ स्कूलुगळल्लि डिशॆंबर् तिंगळल्लि फिट् इंडिया सप्ताहवन्नु आचरणॆगॆ तन्निरि.
3074,इससे fitness की आदत हम सभी की दिनचर्या में शामिल होगी |,ಇದರಿಂದ ಫಿಟ್‍ನೆಸ್ ಎನ್ನುವುದು ನಮ್ಮ ದೈನಂದಿನ ಕಾರ್ಯಚಟುವಟಿಕೆಯಾಗುತ್ತದೆ.,इदरिंद फिट्‍नॆस् ऎन्नुवुदु नम्म दैनंदिन कार्यचटुवटिकॆयागुत्तदॆ.
3075,Fit India Movement में fitness को लेकर स्कूलों की ranking की व्यवस्था भी की गई हैं |,ಫಿಟ್‍ನೆಸ್ ಇಂಡಿಯಾ ಮೂವ್‍ಮೆಂಟ್ ನಲ್ಲಿ ಫಿಟ್‍ನೆಸ್ ಗೆ ಸಂಬಂಧಿಸಿದಂತೆ ಸ್ಕೂಲುಗಳ ರ್ಯಾಂಕಿಂಗ್ ವ್ಯವಸ್ಥೆಯನ್ನೂ ಮಾಡಲಾಗಿದೆ.,फिट्‍नॆस् इंडिया मूव्‍मॆंट् नल्लि फिट्‍नॆस् गॆ संबंधिसिदंतॆ स्कूलुगळ र्यांकिंग् व्यवस्थॆयन्नू माडलागिदॆ.
3076,"इस ranking को हासिल करने वाले सभी school, Fit India logo और flag का इस्तेमाल भी कर पाएंगे |",ಈ ರ್ಯಾಂಕಿಂಗ್ ಪಡೆಯುವ ಎಲ್ಲ ಸ್ಕೂಲುಗಳು ಫಿಟ್ ಇಂಡಿಯಾ ಲೋಗೊ ಮತ್ತು ಪ್ಲ್ಯಾಗ್‍ಗಳ ಬಳಕೆಯನ್ನು ಮಾಡಲು ಅರ್ಹರಾಗುತ್ತಾರೆ.,ई र्यांकिंग् पडॆयुव ऎल्ल स्कूलुगळु फिट् इंडिया लोगॊ मत्तु प्ल्याग्‍गळ बळकॆयन्नु माडलु अर्हरागुत्तारॆ.
3077,Fit India portal पर जाकर school स्वयं को Fit घोषित कर सकते हैं |,"ಫಿಟ್ ಇಂಡಿಯಾ ಪೋರ್ಟಲ್‍ಗೆ ಹೋಗಿ ಸ್ಕೂಲುಗಳು ಸ್ವತ:
 ತಾವೇ ‘ಫಿಟ್’ ಎಂದು ಘೋಷಿಸಿಕೊಳ್ಳಬಹುದಾಗಿದೆ.","फिट् इंडिया पोर्टल्‍गॆ होगि स्कूलुगळु स्वत:
 तावे ‘फिट्’ ऎंदु घोषिसिकॊळ्ळबहुदागिदॆ."
3078,Fit India three star और Fit India five star ratings भी दी जाएगी |,ಫಿಟ್ ಇಂಡಿಯಾ ಥ್ರೀ ಸ್ಟಾರ್ ಹಾಗೂ ಫಿಟ್ ಇಂಡಿಯಾ ಫೈವ್ ಸ್ಟಾರ್ ರೇಟಿಂಗ್ ಕೂಡಾ ನೀಡಲಾಗುತ್ತದೆ.,फिट् इंडिया थ्री स्टार् हागू फिट् इंडिया फैव् स्टार् रेटिंग् कूडा नीडलागुत्तदॆ.
3079,"मैं अनुरोध करते हूँ कि सभी school, Fit India ranking में शामिल हों और Fit India यह सहज स्वभाव बने |",ಎಲ್ಲಾ ಸ್ಕೂಲುಗಳು ಈ ಫಿಟ್ ಇಂಡಿಯಾ ರ್ಯಾಂಕಿಂಗ್ ನಲ್ಲಿ ಭಾಗವಹಿಸಿ ಫಿಟ್ ಇಂಡಿಯಾ ಎಂಬುದು ಒಂದು ಸಹಜ ಸ್ವಭಾವವಾಗಲಿ ಎಂದು ನಾನು ಮನವಿ ಮಾಡಿಕೊಳ್ಳುತ್ತೇನೆ.,ऎल्ला स्कूलुगळु ई फिट् इंडिया र्यांकिंग् नल्लि भागवहिसि फिट् इंडिया ऎंबुदु ऒंदु सहज स्वभाववागलि ऎंदु नानु मनवि माडिकॊळ्ळुत्तेनॆ.
3080,एक जनांदोलन बने |,ಅದೊಂದು ಜನಾಂದೋಲನವಾಗಲಿ.,अदॊंदु जनांदोलनवागलि.
3081,जागरूकता आए |,ಜಾಗರೂಕತೆ ಬರಲಿ.,जागरूकतॆ बरलि.
3082,इसके लिए प्रयास करना चाहिए |,ಇದಕ್ಕಾಗಿ ಶ್ರಮಿಸಬೇಕಾಗುತ್ತದೆ.,इदक्कागि श्रमिसबेकागुत्तदॆ.
3083,"मेरे प्यारे देशवासियो, हमारे देश इतना विशाल है |","ನನ್ನ ಪ್ರೀತಿಯ ದೇಶಬಾಂಧವರೆ, ನಮ್ಮ ದೇಶ ಇಷ್ಟೊಂದು ವಿಶಾಲವಾಗಿದೆ.","नन्न प्रीतिय देशबांधवरॆ, नम्म देश इष्टॊंदु विशालवागिदॆ."
3084,इतना विविधिताओं से भरा हुआ है |,ಇಷ್ಟೊಂದು ವಿವಿಧತೆಯಿಂದ ಒಡಗೂಡಿದೆ.,इष्टॊंदु विविधतॆयिंद ऒडगूडिदॆ.
3085,इतना पुरातन है कि बहुत सी बातें हमारे ध्यान में ही नहीं आती हैं और स्वाभाविक भी है |,ಇಷ್ಟೊಂದು ಪುರಾತನವಾಗಿಯೆಂದರೆ ಹಲವಾರು ಸಂಗತಿಗಳು ನಮ್ಮ ಗಮನಕ್ಕೇ ಬರುವುದಿಲ್ಲ ಮತ್ತು ಸ್ವಾಭಾವಿಕವಾಗಿ ನಡೆದು ಹೋಗುತ್ತವೆ.,इष्टॊंदु पुरातनवागियॆंदरॆ हलवारु संगतिगळु नम्म गमनक्के बरुवुदिल्ल मत्तु स्वाभाविकवागि नडॆदु होगुत्तवॆ.
3086,वैसी एक बात मैं आपको share करना चाहता हूँ |,ಅಂತಹ ‘ಮಾಯ್ ಗೌ’ ನಲ್ಲಿ ಒಂದು ಕಮೆಂಟ್ ನನ್ನ ಗಮನ ಸಳೆಯಿತು.,अंतह ‘माय् गौ’ नल्लि ऒंदु कमॆंट् नन्न गमन सळॆयितु.
3087,कुछ दिन पहले MyGov पर एक comment पर मेरी नजर पड़ी |,ಈ ಕಮೆಂಟ್‍ನ್ನು ಅಸಮ್ ರಾಜ್ಯದ ನೌಗಾಂವ್ ನ ಶ್ರೀ ರಮೇಶ್ ಶರ್ಮಾ ಅವರು ಬರೆದಿದ್ದರು.,ई कमॆंट्‍न्नु असम् राज्यद नौगांव् न श्री रमेश् शर्मा अवरु बरॆदिद्दरु.
3088,ये comment असम के नौगाँव के श्रीमान रमेश शर्मा जी ने लिखा था |,"ಅವರು ಬರೆದಿದ್ದೇನಂದರೆ, ಬ್ರಹ್ಮ ಪುತ್ರ ನದಿ ಕುರಿತಂತೆ ಒಂದು ಉತ್ಸವ ನಡೆಯುತ್ತಿದೆ.","अवरु बरॆदिद्देनंदरॆ, ब्रह्म पुत्र नदि कुरितंतॆ ऒंदु उत्सव नडॆयुत्तिदॆ."
3089,"उन्होंने लिखा ब्रहमपुत्र नदी पर एक उत्सव चल रहा है |
जिसका नाम है ब्रहमपुत्र पुष्कर |","ಅದರ ಹೆಸರು ಪ್ರಹ್ಮ ಪುತ್ರ ಪುಷ್ಕರ ಎಂದು.
ನವಂಬರ್ ತಿಂಗಳು 4 ರಿಂದ 16 ರ ವರೆಗೆ ಈ ಉತ್ಸವ ನಡೆಯಿತು.","अदर हॆसरु प्रह्म पुत्र पुष्कर ऎंदु.
नवंबर् तिंगळु 4 रिंद 16 र वरॆगॆ ई उत्सव नडॆयितु."
3090,04 नवम्बर से 16 नवम्बर तक ये उत्सव था और इस ब्रहमपुत्र पुष्कर में शामिल होने के लिए देश के भिन्न-भिन्न भागों से कई लोग वहाँ पर शामिल हुए हैं |,ಈ ಬ್ರಹ್ಮ ಪುತ್ರ ಪುಷ್ಕರ ದಲ್ಲಿ ಭಾಗವಹಿಸಲು ದೇಶದ ವಿವಿಧ ಭಾಗಗಳಿಂದ ಹಲವಾರು ಜನರು ಬಂದಿದ್ದರು.,ई ब्रह्म पुत्र पुष्कर दल्लि भागवहिसलु देशद विविध भागगळिंद हलवारु जनरु बंदिद्दरु.
3091,ये सुनकर आपको भी आश्चर्य हुआ ना |,ಇದನ್ನು ಕೇಳಿದ ತಮಗೂ ಆಶ್ಚರ್ಯವಾಗಿತಬೇಕಲ್ಲವೆ.,इदन्नु केळिद तमगू आश्चर्यवागितबेकल्लवॆ.
3092,हाँ यही तो बात है ये ऐसा महत्वपूर्ण उत्सव है और हमारे पूर्वजों ने इसकी ऐसी रचना की है कि जब पूरी बात सुनोगे तो आपको भी आश्चर्य होगा |,"ಹೌದು, ಇದೇ ಮಾತು ಹೇಳಬೇಕೆಂದಿದ್ದು, ಇದೊಂದು ಇಂತಹ ಮಹತ್ವಪೂರ್ಣ ಉತ್ಸವವಾಗಿದ್ದು ನಮ್ಮ ಪೂರ್ವಜರು ಇದನ್ನು ಹೇಗೆ ಇಚನೆ ಮಾಡಿದ್ದಾರೆಂದರೆ ಅದನ್ನು ಪೂರ್ಣ ಕೇಳಿದರೆ ನಿಮಗೂ ಆಶ್ಚರ್ಯವಾಗುತ್ತದೆ.","हौदु, इदे मातु हेळबेकॆंदिद्दु, इदॊंदु इंतह महत्वपूर्ण उत्सववागिद्दु नम्म पूर्वजरु इदन्नु हेगॆ इचनॆ माडिद्दारॆंदरॆ अदन्नु पूर्ण केळिदरॆ निमगू आश्चर्यवागुत्तदॆ."
3093,लेकिन दुर्भाग्य से इसका जितना व्यापक प्रचार होना चाहिए |,"ಆದರೆ ದುರ್ಭಾಗ್ಯವೆಂದರೆ ಇದಕ್ಕೆ ಎಷ್ಟು ಪ್ರಚಾರ ಬೇಕಿತ್ತೋ, ಎಷ್ಟೋದು ದೇಶದ ಮೂಲೆ ಮೂಲೆ ತಲುಪಬೇಕಿತ್ತೋ ಅಷ್ಟು ಆಗುತ್ತಿಲ್ಲ.","आदरॆ दुर्भाग्यवॆंदरॆ इदक्कॆ ऎष्टु प्रचार बेकित्तो, ऎष्टोदु देशद मूलॆ मूलॆ तलुपबेकित्तो अष्टु आगुत्तिल्ल."
3094,"जितनी देश के कोने-कोने में जानकारी होनी चाहिए, उतनी मात्रा में नहीं होती है |","ಇಲ್ಲಿ ಗಮನಿಸಬೇಕಾದ ಅಂಶವೆಂದರೆ ಈ ಉತ್ಸವದ ಆಯೋಜನೆ ಒಂದು ರೀತಿಯಿಂದ ಒಂದು ದೇಶ-ಒಂದು ಸಂದೇಶ, ನಾವೆಲ್ಲ ಒಂದು ಎನ್ನುವ ಭಾವನೆ ಮತ್ತು ಶಕ್ತಿ ತುಂಬುವುದಾಗಿದೆ.","इल्लि गमनिसबेकाद अंशवॆंदरॆ ई उत्सवद आयोजनॆ ऒंदु रीतियिंद ऒंदु देश-ऒंदु संदेश, नावॆल्ल ऒंदु ऎन्नुव भावनॆ मत्तु शक्ति तुंबुवुदागिदॆ."
3095,और ये भी बात सही है इस पूरा आयोजन एक प्रकार से एक देश-एक सन्देश और हम सब एक है |,"ನೀವು ಸಂಕಟವನ್ನೂ ವದಕ್ತಪಡಿಸಿದ್ದೀರಿ, ಇಂತಹ ಮಹಲ್ವಪೂರ್ಣ ವಿಷಯದ ವ್ಯಾಪಕ ಚರ್ಚೆಯಾಗುವುದಿಲ್ಲ ಮತ್ತು ಪ್ರಚಾರವೂ ನಡೆಯುವುದಿಲ್ಲ.","नीवु संकटवन्नू वदक्तपडिसिद्दीरि, इंतह महल्वपूर्ण विषयद व्यापक चर्चॆयागुवुदिल्ल मत्तु प्रचारवू नडॆयुवुदिल्ल."
3096,"उस भाव को भरने वाला है, ताकत देने वाला है |",ತಮ್ಮ ಸಂಕಟವನ್ನು ನಾನು ಅರ್ಥ ಮಾಡಿಕೊಳ್ಳಬಲ್ಲೆ.,तम्म संकटवन्नु नानु अर्थ माडिकॊळ्ळबल्लॆ.
3097,सबसे पहले तो रमेश जी आपका बहुत बहुत धन्यवाद कि आपने ‘मन की बात’ के माध्यम से देशवासियों के बीच ये बात शेयर करने का निश्चय किया |,"ಹೌದು, ಯಾರಾದರೂ ಇದಕ್ಕೆ ‘ಅಂತರರಾಷ್ಟ್ರೀಯ ನದಿ ಉತ್ಸವ’ ಎಂದು ಹೆಸರಿಸಿದ್ದರೆ, ಕೆಲ ವಿಶಿಷ್ಟ ಪದಗಳ ಬಳಕೆಯಾಗಿದ್ದರೆ ನಮ್ಮ ದೇಶದ ಕೆಲವರು ಅವಶ್ಯವಾಗಿ ಏನಾದರೊಂದು ಚರ್ಚೆಯಾಗುತ್ತಿತ್ತು ಮತ್ತು ಹಾಗೆಯೇ ಪ್ರಚಾರವೂ ಆಗುತ್ತಿತ್ತು.","हौदु, यारादरू इदक्कॆ ‘अंतरराष्ट्रीय नदि उत्सव’ ऎंदु हॆसरिसिद्दरॆ, कॆल विशिष्ट पदगळ बळकॆयागिद्दरॆ नम्म देशद कॆलवरु अवश्यवागि एनादरॊंदु चर्चॆयागुत्तित्तु मत्तु हागॆये प्रचारवू आगुत्तित्तु."
3098,"आपने पीड़ा भी व्यक्त की है कि है इतने महत्वपूर्ण बात की कोई व्यापक चर्चा नहीं होती है, प्रचार नहीं होता है |","ನನ್ನ ಪ್ರೀತಿಯ ದೇಶಬಾಂಧವರೆ, ಪುಷ್ಕರಮ್, ಪುಷ್ಕರಾಲ್, ಪುಷ್ಕರ:
 ಎಂಬ ಶಬ್ದಗಳನ್ನು ನೀವು ಎಂದಾದರೂ ಕೇಳಿದ್ದೀರಾ.","नन्न प्रीतिय देशबांधवरॆ, पुष्करम्, पुष्कराल्, पुष्कर:
 ऎंब शब्दगळन्नु नीवु ऎंदादरू केळिद्दीरा."
3099,आपकी पीड़ा मैं समझ सकता हूँ |,".
ತಿಳಿದಿದ್ದೀರಾ.",".
तिळिदिद्दीरा."
3100,देश में ज्यादा लोग इस विषय में नहीं जानते हैं |,".
ಗೊತ್ತಿದೆಯಾ.",".
गॊत्तिदॆया."
3101,"हाँ, अगर शायद किसी ने इसको International River festival कह दिया होता, कुछ बड़े शानदार शब्दों का उपयोग किया होता, तो शायद, हमारे देश में कुछ लोग है जो ज़रूर उस पर कुछ न कुछ चर्चाएँ करते और प्रचार भी हो जाता |","ಸದೇನೆಂದು ನಾನು ಹೇಳುತ್ತೇನೆ, ಇದೊಂದು ದೇಶದ ಹನ್ನೆರಡು ವಿವಿಧ ನದಿಗಳ ಬಗ್ಗೆ ಯಾವ ಉತ್ಸವಗಳ ಆಯೋಜನೆಯಾಗುತ್ತದೆಯೋ ಅವುಗಳ ಭಿನ್ನ-ಭಿನ್ನ ಹೆಸರುಗಳಾಗಿವೆ.
ಪ್ರತಿ ವರ್ಷ ಒಂದು ನದಿಯ ಉತ್ಸವ ಅಂದರೆ ಆ ನದಿಯ ಸರದಿ ಹನ್ನೆರಡು ವರ್ಷಗಳ ನಂತರ ಬರುತ್ತದದೆ.","सदेनॆंदु नानु हेळुत्तेनॆ, इदॊंदु देशद हन्नॆरडु विविध नदिगळ बग्गॆ याव उत्सवगळ आयोजनॆयागुत्तदॆयो अवुगळ भिन्न-भिन्न हॆसरुगळागिवॆ.
प्रति वर्ष ऒंदु नदिय उत्सव अंदरॆ आ नदिय सरदि हन्नॆरडु वर्षगळ नंतर बरुत्तददॆ."
3102,"मेरे प्यारे देशवासियों पुष्करम, पुष्करालू, पुष्करः क्या आपने कभी ये शब्द सुने हैं, क्या आप जानते हैं आपको पता है ये क्या है, मै बताता हूँ यह देश कि बारह अलग अलग नदियों पर जो उत्सव आयोजित होते हैं उसके भिन्न- भिन्न नाम है |","ಈ ಉತ್ಸವ ದೇಶದ ವಿಭಿನ್ನ ಸ್ಥಳಗಳಲ್ಲಿರುವ ಹನ್ನೆರಡು ನದಿಗಳಲ್ಲಿ ನಡೆಯುತ್ತದೆ.
ಯಾವಾಗಲೂ ನಡೆಯುತ್ತವೆ ಮತ್ತು ಕುಂಭಮೇಳದಂತೆ ಈ ಉತ್ಸವ ರಾಷ್ಟ್ರೀಯ ಏಕತೆಗೆ ಒತ್ತು ನೀಡುತ್ತವೆ ಮತ್ತು ‘ಏಕ್ ಭಾರತ್ ಶ್ರೇಷ್ಠ ಭಾರತ್’ ದ ದರ್ಶನ ನೀಡುತ್ತವೆ.","ई उत्सव देशद विभिन्न स्थळगळल्लिरुव हन्नॆरडु नदिगळल्लि नडॆयुत्तदॆ.
यावागलू नडॆयुत्तवॆ मत्तु कुंभमेळदंतॆ ई उत्सव राष्ट्रीय एकतॆगॆ ऒत्तु नीडुत्तवॆ मत्तु ‘एक् भारत् श्रेष्ठ भारत्’ द दर्शन नीडुत्तवॆ."
3103,"हर वर्ष एक नदी पर यानि उस नदी का नंबर फिर बारह वर्ष के बाद लगता है, और यह उत्सव देश के अलग-अलग कोने की बारह नदियों पर होता है, बारी- बारी से होता है और बारह दिन चलता है कुम्भ की तरह ही ये उत्सव भी राष्ट्रीय एकता को बढ़ावा देता है और ‘एक भारत-श्रेष्ठ भारत’ के दर्शन कराता है |","‘ಪುಷ್ಕರಮ್’ ಈ ವಿಶಿಷ್ಟ ಉತ್ಸವದಿಂದ ನದಿಯ ಗೌರವ, ಜೀವನದಲ್ಲಿ ನದಿಯ ಮಹತ್ವ ಒಂದು ರೀತಿಯಲ್ಲಿ ಸಹಜವಾಗಿ ಜಾಗೃತಗೋಳ್ಳುತ್ತದೆ.
ನಮ್ಮ ಪೂರ್ವಜರು ಪೃಕೃತಿ, ಪರಿಸರ, ನಿರು, ಭೂಮಿ, ಕಾಡುಗಳಿಗೆ ಬಹಳ ಮಹತ್ವದ ಸ್ಥಾನ ನೀಡಿದ್ದಾರೆ.","‘पुष्करम्’ ई विशिष्ट उत्सवदिंद नदिय गौरव, जीवनदल्लि नदिय महत्व ऒंदु रीतियल्लि सहजवागि जागृतगोळ्ळुत्तदॆ.
नम्म पूर्वजरु पृकृति, परिसर, निरु, भूमि, काडुगळिगॆ बहळ महत्वद स्थान नीडिद्दारॆ."
3104,"पुष्करम यह ऐसा उत्सव है जिसमें नदी का मह्त्मय , नदी का गौरव, जीवन में नदी की महत्ता एक सहज रूप से उजागर होती है!हमारे पूर्वजो ने प्रकृति को, पर्यावरण को , जल को , जमीन को , जंगल को बहुत अहमियत दी |","ಅವರು ನದಿಯ ಮಹತ್ವವನ್ನು ತಿಳಿದಿದ್ದರು ಮತ್ತು ಸಮಾಜದಲ್ಲ್ಕಿ ನದಿಗಳ ಬಗ್ಗೆ ಸಕಾರಾತ್ಮಕ ಭಾವ ಮೂಡಲು, ಒಂದು ಸಂಸ್ಕಾರ ಹೇಗೆ ಮೂಡಬೇಕು, ನದಿಗಳೊಂದಿಗೆ ಸಂಸ್ಕøತಿ, ಸಂಸ್ಕಾರಗಳ ಮತ್ತು ಸಮಾಜದ ಬೆಸುಗೆಯ ಪ್ರಯತ್ನ ನಿರಂತರ ಜಾರಿಯಲ್ಲಿದೆ.","अवरु नदिय महत्ववन्नु तिळिदिद्दरु मत्तु समाजदल्ल्कि नदिगळ बग्गॆ सकारात्मक भाव मूडलु, ऒंदु संस्कार हेगॆ मूडबेकु, नदिगळॊंदिगॆ संस्कøति, संस्कारगळ मत्तु समाजद बॆसुगॆय प्रयत्न निरंतर जारियल्लिदॆ."
3105,"उन्होंने नदियों के महत्व को समझा और समाज को नदियों के प्रति सकारात्मत भाव कैसा पैदा हो, एक संस्कार कैसे बनें , नदी के साथ संस्कृति की धारा, नदी के साथ संस्कार की धारा , नदी के साथ समाज को जोड़ने का प्रयास ये निरंतर चलता रहा और मजेदार बात ये है कि समाज नदियों से भी जुड़ा और आपस में भी जुड़ा |","ವಿಶೇಷವೆಂದರೆ ಸಮಾಜವು ನದಿಯೊಂದಿಗೆ ಹಾಗೂ ತಮ್ಮ-ತಮ್ಮೊಂದಿಗೆಯೂ ಬೆಸುಗೊಂಡವು.
ಕಳೆದ ವರ್ಷ ತಮಿಳುನಾಡಿನ ‘ತಾಮೀರ್‍ಬರನಿ’ ನದಿಯಲ್ಲಿ ಪುಷ್ಕರಮ್ ಆಯೋಜಿಸಲಾಗಿತ್ತು.","विशेषवॆंदरॆ समाजवु नदियॊंदिगॆ हागू तम्म-तम्मॊंदिगॆयू बॆसुगॊंडवु.
कळॆद वर्ष तमिळुनाडिन ‘तामीर्‍बरनि’ नदियल्लि पुष्करम् आयोजिसलागित्तु."
3106,पिछले साल तमिलनाडु के तामीर बरनी नदी पर पुष्करम हुआ था |,ಈ ವರ್ಷ ಅದು ‘ಬ್ರಹ್ಮ ಪುತ್ರ’ ನದಿಯಲ್ಲಿ ಆಯೋಜಿಸಲಾಯಿತು.,ई वर्ष अदु ‘ब्रह्म पुत्र’ नदियल्लि आयोजिसलायितु.
3107,"इस वर्ष यह ब्रह्मपुत्र नदी पर आयोजित हुआ और आने वाले साल तुंगभद्रा नदी आँध्रप्रदेश, तेलंगाना और कर्नाटक में आयोजित होगा |","ಬರುವ ವರ್ಷ ಆಂಧ್ರಪ್ರದೇಶ್, ತೆಲಂಗಾಣಾ, ಕರ್ನಾಟಕ ದಲ್ಲಿ ಹರಿಯುವ ತುಂಗಭದ್ರ ನದಿಯಲ್ಲಿ ಆಯೋಜನೆಗೊಳ್ಳಲಿದೆ.","बरुव वर्ष आंध्रप्रदेश्, तॆलंगाणा, कर्नाटक दल्लि हरियुव तुंगभद्र नदियल्लि आयोजनॆगॊळ्ळलिदॆ."
3108,एक तरह से आप इन बारह स्थानों की यात्रा एक Tourist circuit के रूप में भी कर सकते हैं |,ಒಂದು ರೀತಿಯಲ್ಲಿ ನೀವು ಈ ಹನ್ನೆರಡೂ ಸ್ಥಾನಗಳ ಯಾತ್ರೆಯನ್ನು ಒಂದು’ ಟೂರಿಷ್ಟ ಸರ್ಕೀಟ್’ ದಂತೆ ಮಾಡಬಹುದಾಗಿದೆ.,ऒंदु रीतियल्लि नीवु ई हन्नॆरडू स्थानगळ यात्रॆयन्नु ऒंदु’ टूरिष्ट सर्कीट्’ दंतॆ माडबहुदागिदॆ.
3109,यहाँ मैं असम के लोगों की गर्मजोशी उनके आतिथ्य की सराहना करना चाहता हूँ जिन्होंने पूरे देश से आये तीर्थयात्रियों का बहुत सुन्दर सत्कार किया |,"ಇಲ್ಲಿ ನಾನು ‘ಆಸಾಮ್’ ನ ಜನತೆಯ ಉತ್ಸಾಹ ಹಾಗೂ ಆತಿಥ್ಯಗಳನ್ನು ಶ್ಲಾಘಿಸಬಯಸುತ್ತೇನೆ.
ಇಡೀ ದೇಶದಾದ್ಯಂತ ಆಗಮಿಸಿದ ತೀರ್ಥಯಾತ್ರಿಗಳನ್ನು ಬಹಳ ಸುಂದರವಾಗಿ ಸತ್ಕರಿಸಿದ್ದಾರೆ.","इल्लि नानु ‘आसाम्’ न जनतॆय उत्साह हागू आतिथ्यगळन्नु श्लाघिसबयसुत्तेनॆ.
इडी देशदाद्यंत आगमिसिद तीर्थयात्रिगळन्नु बहळ सुंदरवागि सत्करिसिद्दारॆ."
3110,आयोजकों ने स्वच्छता का भी पूरा ख्याल रखा |,ಆಯೋಜಕರು ಸ್ವಚ್ಛತೆಯ ಬಗ್ಗೆಯೂ ಬಹಳ ಜಾಗರೂಕತೆಯನ್ನು ವಹಿಸಿದ್ದಾರೆ.,आयोजकरु स्वच्छतॆय बग्गॆयू बहळ जागरूकतॆयन्नु वहिसिद्दारॆ.
3111,plastic free zone सुनिश्चित किये |,‘ಪ್ಲಾಸ್ಟಿಕ್ ಫ್ರೀ ಝೋನ್’ ಎಂಬುದನ್ನು ಪಾಲಿಸಿದ್ದಾರೆ.,‘प्लास्टिक् फ्री झोन्’ ऎंबुदन्नु पालिसिद्दारॆ.
3112,जगह-जगह Bio Toilets की भी व्यवस्था की |,ಅಲ್ಲಲ್ಲಿ ‘ಬಾಯೋ ಟಾಯ್ಲೆಟ್’ ಗಳ ವದಯವಸ್ಥೆಯನ್ನು ಮಾಡಿದ್ದರು.,अल्लल्लि ‘बायो टाय्लॆट्’ गळ वदयवस्थॆयन्नु माडिद्दरु.
3113,मुझे उम्मीद है कि नदियों के प्रति इस प्रकार का भाव जगाने का ये हज़ारों साल पुराना हमारा उत्सव भावी पीढ़ी को भी जोड़े |,ಸಾವಿರಾರು ವರ್ಷಗಳ ಹಿಂದಿನಿಂದ ನಮ್ಮ ಪೂರ್ವಜರು ನದಿಗಳ ಬಗ್ಗೆ ಇಂತಹ ಭಾವನೆಗಳನ್ನು ತಳೆಯಲು ಮಾಡಿದ ಪ್ರಯತ್ನಗಳು ನಮ್ಮ ಭಾವಿ ಪೀಳಿಗೆಯನ್ನು ಬೆಸೆಯುತ್ತದೆ ಎಂದು ಹೇಳಲು ನನಗೆ ಹರ್ಷವೆನಿಸುತ್ತದೆ.,साविरारु वर्षगळ हिंदिनिंद नम्म पूर्वजरु नदिगळ बग्गॆ इंतह भावनॆगळन्नु तळॆयलु माडिद प्रयत्नगळु नम्म भावि पीळिगॆयन्नु बॆसॆयुत्तदॆ ऎंदु हेळलु ननगॆ हर्षवॆनिसुत्तदॆ.
3114,"प्रकृति, पर्यावरण, पानी ये सारी चीजें हमारे पर्यटन का भी हिस्सा बनें, जीवन का भी हिस्सा बनें |","ಪೃಕೃತಿ, ಪರಿಸರ, ನಿರು, ಈ ಎಲ್ಲವುಗಳು ನಮ್ಮ ಪ್ರವಾಸದ ಅಂಗಗಳಾಗಲಿ, ಜೀವನದ ಅಂಗಗಳೂ ಅಗಲಿ.","पृकृति, परिसर, निरु, ई ऎल्लवुगळु नम्म प्रवासद अंगगळागलि, जीवनद अंगगळू अगलि."
